stimulus;name_stimulus;cropping_percentage;orientation(0:vertical_1:horizontal);image_ref_position(0:right/down_1:left/up);answer;time_reaction;entropy
6050.000000;contemporary06050.png;562.000000;1.000000;0.000000;left;1.330314;7.244380
16600.000000;contemporary16600.png;409.000000;1.000000;1.000000;left;1.322661;7.243943
9750.000000;contemporary09750.png;220.000000;0.000000;0.000000;left;1.642409;7.237932
13750.000000;contemporary13750.png;574.000000;1.000000;0.000000;left;1.000461;7.236535
8400.000000;contemporary08400.png;167.000000;0.000000;0.000000;left;1.890603;7.228579
12000.000000;contemporary12000.png;214.000000;0.000000;0.000000;left;4.998452;7.225909
2200.000000;contemporary02200.png;611.000000;0.000000;1.000000;right;4.438757;7.212492
18250.000000;contemporary18250.png;450.000000;1.000000;1.000000;left;1.641040;7.212311
17000.000000;contemporary17000.png;100.000000;1.000000;1.000000;left;4.392948;7.211997
10350.000000;contemporary10350.png;417.000000;1.000000;0.000000;left;0.857206;7.207361
15050.000000;contemporary15050.png;399.000000;0.000000;1.000000;left;1.465349;7.206646
9400.000000;contemporary09400.png;543.000000;1.000000;1.000000;left;1.348915;7.200619
2300.000000;contemporary02300.png;150.000000;1.000000;1.000000;right;0.749437;7.187769
11550.000000;contemporary11550.png;635.000000;1.000000;1.000000;left;0.779521;7.184922
14250.000000;contemporary14250.png;657.000000;1.000000;1.000000;left;3.165267;7.183998
450.000000;contemporary00450.png;618.000000;0.000000;0.000000;right;1.357282;7.174161
16150.000000;contemporary16150.png;431.000000;0.000000;1.000000;left;1.977228;7.173780
800.000000;contemporary00800.png;317.000000;1.000000;0.000000;right;0.619191;7.163661
7300.000000;contemporary07300.png;173.000000;0.000000;0.000000;left;0.741324;7.155492
2500.000000;contemporary02500.png;125.000000;0.000000;1.000000;right;1.271443;7.143784
2600.000000;contemporary02600.png;517.000000;1.000000;0.000000;left;1.063733;7.112831
8450.000000;contemporary08450.png;174.000000;0.000000;0.000000;left;1.767577;7.105817
16350.000000;contemporary16350.png;262.000000;1.000000;0.000000;left;2.079617;7.105489
9200.000000;contemporary09200.png;350.000000;1.000000;0.000000;left;0.727537;7.099743
